"ID","LAT","LON","ALT","Local_climate_zone","Landcover","building_height","Sky_view_factor","installation_height"
"LC-108",50.872,4.696,24,"5","1",8.54620724710925,0.64806251069383,2
"LC-109",50.873,4.699,37,"2","1",24.9799995422363,0.389381600986198,3
"LC-110",50.873,4.703,38,"2","0",10.9200000762939,0.779510100195302,3
"LC-111",50.877,4.709,34,"2","1",0,0.655425946357884,3
"LC-112",50.875,4.701,42,"2","0",18.1351256847382,0.635924706785452,3
"LC-113",50.877,4.698,20,"2","0",18.2445324959515,0.653118280345758,3
"LC-114",50.876,4.703,37,"5","0",19.7800006866455,0.790199703328335,3
"LC-116",50.884,4.689,39,"5","1",17.8400001525879,0.671777152444403,3
"LC-117",50.877,4.7,26,"2","0",20.655554983351,0.651494879996966,3
"LC-118",50.875,4.699,38,"2","0",17.3999996185303,0.712313702661979,3
"LC-119",50.868,4.685,23,"12","1",9.55000019073486,0.860482763203364,3
"LC-120",50.864,4.676,21,"5","1",0,0.938408214063309,2
"LC-121",50.863,4.68,21,"6","1",0,0.950832799029426,3
"LC-122",50.862,4.681,21,"9","0",0,0.157679763203167,3
"LC-123",50.863,4.682,21,"12","1",0,0.772195776934938,3
"LC-124",50.863,4.687,26,"12","1",0,0.626171866030642,3
"LC-125",50.88,4.673,65,"4","0",36.2200012207031,0.704167356292089,3
"LC-126",50.88,4.716,31,"8","0",0,0.849057510072124,2
"LC-127",50.874,4.715,38,"3","1",13.5900001525879,0.548167182061868,2
"LC-128",50.884,4.768,53,"9","1",0,0.910926377016401,2
"LC-129",50.867,4.725,38,"6","0",4.15999984741211,0.898725983615105,3
"LC-130",50.867,4.729,38,"6","0",7.84000015258789,0.884063766600612,3
"LC-131",50.866,4.73,38,"9","0",8.72000026702881,0.821246820006943,3
"LC-132",50.865,4.727,38,"6","0",11.5300003687541,0.849704943100611,3
"LC-133",50.866,4.727,38,"6","0",5.96909111196345,0.843828277915058,3
"LC-134",50.926,4.725,12,"9","0",14.25,0.692416807547354,3
"LC-135",50.874,4.76,92,"14","1",0,0.716678087040187,2
"LC-136",50.881,4.753,44,"12","1",0,0.825018565732831,2
"LC-137",50.854,4.694,42,"6","1",2.75782606912696,0.722500495943758,2
"LC-138",50.873,4.697,22,"5","1",0,0.39904811691825,2
